state_id,state_SAmax,state_alphaSA,state_betaMin,state_betaMax,state_T0,best_next_state_id,best_param_SAmax,best_param_alphaSA,best_param_betaMin,best_param_betaMax,best_param_T0,"Q(s,0)","Q(s,1)","Q(s,2)","Q(s,4)","Q(s,8)","Q(s,3)","Q(s,5)","Q(s,9)","Q(s,6)","Q(s,10)","Q(s,7)","Q(s,11)","Q(s,12)","Q(s,13)","Q(s,14)","Q(s,15)"
0,10,0.5,0.01,0.05,10,4,10,0.7,0.01,0.05,10,0.0235,0.029,0.0317,0.0431,0.0385,,,,,,,,,,,
1,10,0.5,0.01,0.1,10,1,10,0.5,0.01,0.1,10,0.0306,0.0395,,,,0.032,0.0224,0.0204,,,,,,,,
2,10,0.5,0.03,0.05,10,6,10,0.7,0.03,0.05,10,0.029,,0.0283,,,0.0305,,,0.6693,0.0132,,,,,,
3,10,0.5,0.03,0.1,10,11,5,0.5,0.03,0.1,10,,0.0278,0.0309,,,0.015,,,,,0.0442,0.0481,,,,
4,10,0.7,0.01,0.05,10,12,5,0.7,0.01,0.05,10,0.0346,,,0.0134,,,0.0185,,0.0288,,,,0.0473,,,
5,10,0.7,0.01,0.1,10,1,10,0.5,0.01,0.1,10,,0.0489,,0.0411,,,0.0296,,,,0.0388,,,0.0212,,
6,10,0.7,0.03,0.05,10,4,10,0.7,0.01,0.05,10,,,0.0117,0.046,,,,,0.024,,0.04,,,,0.0133,
7,10,0.7,0.03,0.1,10,7,10,0.7,0.03,0.1,10,,,,,,0.0234,0.0426,,0.0158,,0.0469,,,,,0.0466
8,5,0.5,0.01,0.05,10,12,5,0.7,0.01,0.05,10,0.0382,,,,0.0219,,,0.0119,,0.0239,,,0.0386,,,
9,5,0.5,0.01,0.1,10,1,10,0.5,0.01,0.1,10,,0.0474,,,0.0474,,,0.0371,,,,0.0107,,0.0336,,
10,5,0.5,0.03,0.05,10,14,5,0.7,0.03,0.05,10,,,0.0339,,0.0405,,,,,0.0297,,0.0286,,,0.0443,
11,5,0.5,0.03,0.1,10,10,5,0.5,0.03,0.05,10,,,,,,0.0218,,0.0103,,0.0399,,0.021,,,,0.0213
12,5,0.7,0.01,0.05,10,4,10,0.7,0.01,0.05,10,,,,0.039,0.0257,,,,,,,,0.0376,0.0351,0.0287,
13,5,0.7,0.01,0.1,10,13,5,0.7,0.01,0.1,10,,,,,,,0.0146,0.0311,,,,,0.0312,0.0408,,0.0381
14,5,0.7,0.03,0.05,10,10,5,0.5,0.03,0.05,10,,,,,,,,,0.0124,0.0443,,,0.0215,,0.0332,0.0179
15,5,0.7,0.03,0.1,10,7,10,0.7,0.03,0.1,10,,,,,,,,,,,0.0474,0.02,,0.0311,0.0423,0.0371
