state_id,state_SAmax,state_alphaSA,state_betaMin,state_betaMax,state_T0,best_next_state_id,best_param_SAmax,best_param_alphaSA,best_param_betaMin,best_param_betaMax,best_param_T0,"Q(s,0)","Q(s,1)","Q(s,2)","Q(s,4)","Q(s,8)","Q(s,3)","Q(s,5)","Q(s,9)","Q(s,6)","Q(s,10)","Q(s,7)","Q(s,11)","Q(s,12)","Q(s,13)","Q(s,14)","Q(s,15)"
0,10,0.5,0.01,0.05,10,8,5,0.5,0.01,0.05,10,0.0418,0.024,0.0353,0.0331,0.0482,,,,,,,,,,,
1,10,0.5,0.01,0.1,10,3,10,0.5,0.03,0.1,10,0.0227,0.0335,,,,0.9158,0.0173,0.0239,,,,,,,,
2,10,0.5,0.03,0.05,10,3,10,0.5,0.03,0.1,10,0.018,,0.0109,,,0.4518,,,0.0287,0.0251,,,,,,
3,10,0.5,0.03,0.1,10,2,10,0.5,0.03,0.05,10,,0.0202,0.506,,,0.0152,,,,,0.0313,0.0241,,,,
4,10,0.7,0.01,0.05,10,12,5,0.7,0.01,0.05,10,0.0112,,,0.033,,,0.0143,,0.0426,,,,0.047,,,
5,10,0.7,0.01,0.1,10,1,10,0.5,0.01,0.1,10,,0.0376,,0.0203,,,0.0297,,,,0.0203,,,0.0298,,
6,10,0.7,0.03,0.05,10,2,10,0.5,0.03,0.05,10,,,0.0449,0.0446,,,,,0.0137,,0.0186,,,,0.0373,
7,10,0.7,0.03,0.1,10,6,10,0.7,0.03,0.05,10,,,,,,0.0101,0.0208,,0.0436,,0.01,,,,,0.0147
8,5,0.5,0.01,0.05,10,10,5,0.5,0.03,0.05,10,0.017,,,,0.0243,,,0.0231,,0.0498,,,0.0468,,,
9,5,0.5,0.01,0.1,10,9,5,0.5,0.01,0.1,10,,0.0307,,,0.0331,,,0.0418,,,,0.0344,,0.0403,,
10,5,0.5,0.03,0.05,10,10,5,0.5,0.03,0.05,10,,,0.0438,,0.0417,,,,,0.0457,,0.0448,,,0.0206,
11,5,0.5,0.03,0.1,10,15,5,0.7,0.03,0.1,10,,,,,,0.0165,,0.0152,,0.0255,,0.019,,,,0.0473
12,5,0.7,0.01,0.05,10,8,5,0.5,0.01,0.05,10,,,,0.026,0.0463,,,,,,,,0.0165,0.0419,0.0248,
13,5,0.7,0.01,0.1,10,15,5,0.7,0.03,0.1,10,,,,,,,0.0244,0.0298,,,,,0.0267,0.0221,,0.0374
14,5,0.7,0.03,0.05,10,14,5,0.7,0.03,0.05,10,,,,,,,,,0.0422,0.0264,,,0.0317,,0.0485,0.0223
15,5,0.7,0.03,0.1,10,15,5,0.7,0.03,0.1,10,,,,,,,,,,,0.0342,0.0354,,0.0135,0.0289,0.0393
